timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
24,18.87,4600.16,0.2,1.62,0.07,359.96,HBEFA3/PC_G_EU4,0,1.98,veh4,:38020636_9_0,69.18,2.02,!veh4!var#1,20.22,veh_passenger,0,27950,24642.33
25,104.2,5810.08,0.61,2.46,0.11,359.73,HBEFA3/PC_G_EU4,0,2.5,veh0,:37981975_5_0,66.88,5.43,!veh0!var#1,9.09,veh_passenger,0,18276.5,24816.25
25,54.5,4850.3,0.36,1.92,0.08,180.83,HBEFA3/PC_G_EU4,0,2.08,veh1,737358450#9_0,65.96,40.48,!veh1!var#1,12.56,veh_passenger,0,29159.78,24442.9
25,0,0,0,0,0,270.9,HBEFA3/PC_G_EU4,0,0,veh2,5337487#6_0,64.71,122.28,!veh2!var#1,14.11,veh_passenger,0,23467.6,25289.17
25,122.45,4851.03,0.67,2.1,0.1,309.65,HBEFA3/PC_G_EU4,0,2.09,veh3,:2702125254_18_0,66.26,4.55,!veh3!var#1,5.78,veh_passenger,0,26153.06,26522.99
25,5.36,3948.88,0.12,1.31,0.05,359.98,HBEFA3/PC_G_EU4,0,1.7,veh4,-733279815#1_0,69.01,7.92,!veh4!var#1,20.35,veh_passenger,0,27949.98,24662.68
26,93.65,5940.91,0.57,2.49,0.11,359.62,HBEFA3/PC_G_EU4,0,2.55,veh0,744926153#6_0,66.93,1.27,!veh0!var#1,10.49,veh_passenger,0,18276.44,24826.73
26,0,0,0,0,0,180.83,HBEFA3/PC_G_EU4,0,0,veh1,737358450#9_0,63.4,52.97,!veh1!var#1,12.49,veh_passenger,0,29159.6,24430.41
26,0,0,0,0,0,270.87,HBEFA3/PC_G_EU4,0,0,veh2,:37977514_5_0,62.82,9.74,!veh2!var#1,13.4,veh_passenger,0,23454.2,25289.38
26,88.58,3783.31,0.49,1.57,0.07,273.71,HBEFA3/PC_G_EU4,0,1.63,veh3,738660122#2_0,63.16,0.62,!veh3!var#1,6.73,veh_passenger,0,26146.38,26523.58
26,0,0,0,0,0,359.98,HBEFA3/PC_G_EU4,0,0,veh4,-733279815#1_0,67.53,27.69,!veh4!var#1,19.76,veh_passenger,0,27949.97,24682.45
27,147.46,9398.62,0.9,4.07,0.2,0.84,HBEFA3/PC_G_EU4,0,4.04,veh0,744926153#6_0,71.12,13.92,!veh0!var#1,12.66,veh_passenger,0,18276.54,24839.38
27,0,0,0,0,0,180.49,HBEFA3/PC_G_EU4,0,0,veh1,737358450#9_0,61.49,64.76,!veh1!var#1,11.78,veh_passenger,0,29159.46,24418.63
27,52.43,5262.51,0.36,2.08,0.09,270.83,HBEFA3/PC_G_EU4,0,2.26,veh2,5337487#8_0,66.89,9.48,!veh2!var#1,14.18,veh_passenger,0,23440.01,25289.59
27,100.91,5190.64,0.58,2.19,0.1,270.62,HBEFA3/PC_G_EU4,0,2.23,veh3,738660122#2_0,65.96,8.81,!veh3!var#1,8.19,veh_passenger,0,26138.19,26523.67
27,34.11,5338.36,0.28,1.97,0.09,359.98,HBEFA3/PC_G_EU4,0,2.29,veh4,-733279815#1_0,69.46,47.86,!veh4!var#1,20.17,veh_passenger,0,27949.96,24702.62
